container,index,resource_name,offset,png_size,width,height,output_file
USERMENU2100.CHK,1,TEX00,57216,660,64,64,site/public/extracted-card-ui/USERMENU2100/001_TEX00_64x64.png
USERMENU2100.CHK,2,TEX01,57904,1148,128,128,site/public/extracted-card-ui/USERMENU2100/002_TEX01_128x128.png
USERMENU2100.CHK,3,TEX02,59072,4924,256,128,site/public/extracted-card-ui/USERMENU2100/003_TEX02_256x128.png
USERMENU2100.CHK,4,TEX03,64016,6146,256,128,site/public/extracted-card-ui/USERMENU2100/004_TEX03_256x128.png
USERMENU2100.CHK,5,TEX04,70192,12807,512,256,site/public/extracted-card-ui/USERMENU2100/005_TEX04_512x256.png
USERMENU2100.CHK,6,TEX05,83024,36794,512,1024,site/public/extracted-card-ui/USERMENU2100/006_TEX05_512x1024.png
USERMENU2100.CHK,7,TEX06,119840,13145,512,256,site/public/extracted-card-ui/USERMENU2100/007_TEX06_512x256.png
USERMENU2100.CHK,8,TEX07,133008,38613,512,1024,site/public/extracted-card-ui/USERMENU2100/008_TEX07_512x1024.png
USERMENU2100.CHK,9,TEX08,171648,2744,128,64,site/public/extracted-card-ui/USERMENU2100/009_TEX08_128x64.png
USERMENU2100.CHK,10,TEX09,174416,4931,128,256,site/public/extracted-card-ui/USERMENU2100/010_TEX09_128x256.png
USERMENU2100.CHK,11,TEX10,179376,1869,128,128,site/public/extracted-card-ui/USERMENU2100/011_TEX10_128x128.png
USERMENU2100.CHK,12,TEX11,181264,2357,128,64,site/public/extracted-card-ui/USERMENU2100/012_TEX11_128x64.png
USERMENU2100.CHK,13,TEX12,183648,6386,256,128,site/public/extracted-card-ui/USERMENU2100/013_TEX12_256x128.png
USERMENU2100.CHK,14,TEX13,190064,1133,128,128,site/public/extracted-card-ui/USERMENU2100/014_TEX13_128x128.png
USERMENU2100.CHK,15,TEX14,191216,416,64,64,site/public/extracted-card-ui/USERMENU2100/015_TEX14_64x64.png
USERMENU2100.CHK,16,TEX15,191664,5098,256,256,site/public/extracted-card-ui/USERMENU2100/016_TEX15_256x256.png
USERMENU2100.CHK,17,TEX16,196784,3812,128,256,site/public/extracted-card-ui/USERMENU2100/017_TEX16_128x256.png
USERMENU2100.CHK,18,TEX17,200624,6531,256,256,site/public/extracted-card-ui/USERMENU2100/018_TEX17_256x256.png
USERMENU2100.CHK,19,TEX18,207184,2809,128,256,site/public/extracted-card-ui/USERMENU2100/019_TEX18_128x256.png
USERMENU2100.CHK,20,TEX19,210016,2934,128,256,site/public/extracted-card-ui/USERMENU2100/020_TEX19_128x256.png
USERMENU2100.CHK,21,TEX20,212976,7135,256,256,site/public/extracted-card-ui/USERMENU2100/021_TEX20_256x256.png
USERMENU2100.CHK,22,TEX21,220128,4096,128,256,site/public/extracted-card-ui/USERMENU2100/022_TEX21_128x256.png
USERMENU2100.CHK,23,TEX22,224256,37451,512,1024,site/public/extracted-card-ui/USERMENU2100/023_TEX22_512x1024.png
USERMENU2100.CHK,24,TEX23,261728,37842,512,1024,site/public/extracted-card-ui/USERMENU2100/024_TEX23_512x1024.png
USERMENU2100.CHK,25,TEX24,299600,30830,512,1024,site/public/extracted-card-ui/USERMENU2100/025_TEX24_512x1024.png
USERMENU2100.CHK,26,TEX25,330448,35295,512,1024,site/public/extracted-card-ui/USERMENU2100/026_TEX25_512x1024.png
USERMENU2100.CHK,27,TEX26,365760,3837,256,256,site/public/extracted-card-ui/USERMENU2100/027_TEX26_256x256.png
USERMENU2100.CHK,28,TEX27,369616,5005,256,256,site/public/extracted-card-ui/USERMENU2100/028_TEX27_256x256.png
USERMENU2100.CHK,29,TEX28,374640,9453,512,256,site/public/extracted-card-ui/USERMENU2100/029_TEX28_512x256.png
USERMENU2100.CHK,30,TEX29,384112,9127,512,256,site/public/extracted-card-ui/USERMENU2100/030_TEX29_512x256.png
USERMENU2100.CHK,31,TEX30,393264,3741,128,256,site/public/extracted-card-ui/USERMENU2100/031_TEX30_128x256.png
USERMENU2100.CHK,32,TEX31,397024,2612,128,128,site/public/extracted-card-ui/USERMENU2100/032_TEX31_128x128.png
USERMENU2100.CHK,33,TEX32,399664,3751,128,256,site/public/extracted-card-ui/USERMENU2100/033_TEX32_128x256.png
USERMENU2100.CHK,34,TEX33,403440,3600,256,256,site/public/extracted-card-ui/USERMENU2100/034_TEX33_256x256.png
USERMENU2100.CHK,35,TEX34,407072,895,128,128,site/public/extracted-card-ui/USERMENU2100/035_TEX34_128x128.png
USERMENU2100.CHK,36,TEX35,407984,1492,128,128,site/public/extracted-card-ui/USERMENU2100/036_TEX35_128x128.png
USERMENU2100.CHK,37,TEX36,409504,1458,128,128,site/public/extracted-card-ui/USERMENU2100/037_TEX36_128x128.png
USERMENU2100.CHK,38,TEX37,410992,5262,512,128,site/public/extracted-card-ui/USERMENU2100/038_TEX37_512x128.png
USERMENU2100.CHK,39,TEX38,416272,1592,256,64,site/public/extracted-card-ui/USERMENU2100/039_TEX38_256x64.png
USERMENU2100.CHK,40,TEX39,417888,1492,128,128,site/public/extracted-card-ui/USERMENU2100/040_TEX39_128x128.png
USERMENU2100.CHK,41,TEX40,419408,518,32,128,site/public/extracted-card-ui/USERMENU2100/041_TEX40_32x128.png
USERMENU2100.CHK,42,TEX41,419952,692,64,64,site/public/extracted-card-ui/USERMENU2100/042_TEX41_64x64.png
USERMENU2100.CHK,43,TEX42,420672,1302,64,128,site/public/extracted-card-ui/USERMENU2100/043_TEX42_64x128.png
USERMENU2100.CHK,44,TEX43,422000,5166,512,64,site/public/extracted-card-ui/USERMENU2100/044_TEX43_512x64.png
USERMENU2100.CHK,45,TEX44,427184,213,64,64,site/public/extracted-card-ui/USERMENU2100/045_TEX44_64x64.png
USERMENU2100.CHK,46,TEX45,427424,1512,128,64,site/public/extracted-card-ui/USERMENU2100/046_TEX45_128x64.png
USERMENU2100.CHK,47,TEX46,428960,3859,128,64,site/public/extracted-card-ui/USERMENU2100/047_TEX46_128x64.png
USERMENU2100.CHK,48,TEX47,432848,1305,64,128,site/public/extracted-card-ui/USERMENU2100/048_TEX47_64x128.png
USERMENU2100.CHK,49,TEX48,434176,292,32,32,site/public/extracted-card-ui/USERMENU2100/049_TEX48_32x32.png
USERMENU2100.CHK,50,TEX49,434496,180,16,16,site/public/extracted-card-ui/USERMENU2100/050_TEX49_16x16.png
USERMENU2100.CHK,51,TEX50,434704,518,32,128,site/public/extracted-card-ui/USERMENU2100/051_TEX50_32x128.png
USERMENU2100.CHK,52,TEX51,435248,1940,256,64,site/public/extracted-card-ui/USERMENU2100/052_TEX51_256x64.png
USERMENU2100.CHK,53,TEX52,437216,563,32,256,site/public/extracted-card-ui/USERMENU2100/053_TEX52_32x256.png
USERMENU2100.CHK,54,TEX53,437808,432,32,64,site/public/extracted-card-ui/USERMENU2100/054_TEX53_32x64.png
USERMENU2100.CHK,55,TEX54,438272,1231,64,64,site/public/extracted-card-ui/USERMENU2100/055_TEX54_64x64.png
